Item,Effort,Description,Dependencies,Priority
NPC browsing/filtering,Small (2-3h),"Search bar + filter chips on the NPC roster. Filter by type (Bystander/Goon/Foe/Antagonist), status (Active/Dead), folder. Search by name. Already have the pattern from pin search.",None,Medium
GM loot distribution modal,Small (1-2h),"Bulk give items to multiple characters at once. GM opens a modal, picks items from catalog/custom, selects which PCs receive them. Currently GM can only give one item at a time via inventory Give button.",Inventory system (done),Low
Inventory migration,Small (1h),"On character load, detect old string[] equipment format and auto-convert to InventoryItem[]. One-time migration per character. Prevents legacy characters from showing empty inventory.",None,Low
Player-facing NPC card read-only,Medium (3-4h),"When a player clicks a revealed NPC, show a stripped-down card: name, portrait, type badge, revealed info only. Hide Edit/Delete/GM Notes/skills/RAPID. Currently players see the same editable card as GM.",NPC reveal system (done),Medium
Player NPC notes + first impressions,Medium (3-4h),"Each player gets a personal notes field per NPC (stored on npc_relationships). Shows their First Impression result and lets them write notes about the NPC. Only visible to that player.",NPC relationships (done),Medium
Insight Dice pre-roll CMod,Tiny (15min),"Design decision: when spending an Insight Die for +CMod, should it be +3 or +2? Currently +3. SRD says +3. Just needs a yes/no from you.",None,Low
Insight Dice sequential reroll,Small (1-2h),"Currently: spend 1 Insight Die to roll 3d6 (keep best 2). If result is bad, you're locked out. Change: after first reroll, if still bad, allow spending a second Insight Die to reroll the remaining die. Requires UI for step-by-step spend.",None,Low
NPC health as narrative feeling,Small (2h),"Player-facing NPC cards show descriptive health instead of exact WP/RP numbers. E.g. Healthy (>75%), Ragged (50-75%), Beaten (25-50%), Dying (<25%). GM still sees exact numbers. Requires player vs GM rendering logic in NpcCard.",Player NPC card (above),Medium
Surface Give loot in Assets Objects panel,Small (1-2h),"Mirror the per-item Give controls from ObjectCard into the Assets → Objects sidebar panel. Currently GM must double-click the object token on the map to access loot. This adds Give buttons directly in the sidebar list.",ObjectCard loot (done),Low
CDP awards,Medium (3-4h),"GM can award Character Development Points to PCs during or after sessions. Modal or button that increments CDP on character_states. Log entry in roll_log. Players see CDP tracker go up. May need a CDP spend UI for skill/attribute advancement.",Character states (done),Medium
Character progression log,Medium (4-6h),"Track what changed on a character over time: skills gained, attributes raised, wounds taken, items acquired. Stored as a journal/changelog. Viewable on character sheet. Useful for long campaigns.",Characters table,Low
Allow characters in multiple campaigns,Large (8-12h),"Currently a character can only be in one campaign (campaign_members.character_id is unique per user). Change: allow the same character to join multiple campaigns with separate character_states per campaign. Requires schema changes and UI for picking which character to use.",DB schema change,Low
Transfer GM role,Medium (4-6h),"Allow the current GM to transfer ownership to another campaign member. Updates campaigns.gm_user_id. Needs confirmation flow, permission checks, and handling of GM-only features transferring cleanly.",Campaign management,Low
Session scheduling,Large (8-12h),"GM proposes session times, players RSVP. Calendar view or simple date picker. Notifications for upcoming sessions. Could integrate with external calendars. Significant new feature with its own UI.",Notification system (done),Low
